시설명,시설종류,주소,위도,경도,정원(명)
강화군노인복지관,노인여가복지시설,인천광역시 강화군 강화읍 중앙로 17-16,37.74032126,126.4912085,7176
강화군노인문화센터,노인여가복지시설,인천광역시 강화군 길상면 마니산로 36,37.6425401,126.4871851,1246
신문리(대안) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 강화대로419번길 5-1,37.74645011,126.4848778,95
"신문1,3,5리 경로당",노인여가복지시설,인천광역시 강화군 강화읍 청하동길9번길 8,37.74667566,126.4825827,28
"신문1,2,5리(부녀) 경로당",노인여가복지시설,인천광역시 강화군 강화읍 청하동길9번길 8,37.74667566,126.4825827,37
신문4리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 청하동길 60,37.74349296,126.4806237,60
신문5리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 향나무길22번길 10,37.74652263,126.4786276,59
관청1리 동문 경로당,노인여가복지시설,인천광역시 강화군 강화읍 관청길10번길 8,37.74897589,126.4889624,88
"관청1,2,3,4(견자산) 경로당",노인여가복지시설,인천광역시 강화군 강화읍 동문안길20번길 18,37.74739208,126.4887299,38
관청5리(중앙) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 관청길65번길 9,37.74897373,126.4828076,54
"관청5,6,7리(부녀) 경로당",노인여가복지시설,인천광역시 강화군 강화읍 관청길65번길 9,37.74897373,126.4828076,40
관청6리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 관청길 84,37.75052427,126.4813301,116
관청7리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 향교길 31,37.75109818,126.4787762,53
국화1리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 국화길12번길 5,37.75183931,126.4692293,41
국화1리(서문) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 고비고개로18번길 13,37.74839509,126.4750543,69
국화2리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 고비고개로 186,37.74161494,126.4591344,86
남산1리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 부조고개길 34,37.74137191,126.4863568,56
남산1리(선화) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 부조고개길56번길 14,37.73964496,126.4840897,25
남산2리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 충렬사로 103-15,37.73108954,126.4795635,67
미래지향아파트 경로당,노인여가복지시설,인천광역시 강화군 강화읍 남문로 41,37.7411901,126.487394,21
"갑곳1,3,4 경로당",노인여가복지시설,인천광역시 강화군 강화읍 강화대로248번길 8,37.74123941,126.5024541,59
"갑곳1,3,4(부녀) 경로당",노인여가복지시설,인천광역시 강화군 강화읍 강화대로248번길 8,37.74123941,126.5024541,54
갑곳2(먹절) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 강화대로 169,37.73775717,126.5102131,21
갑곳2(부녀) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 강화대로 169,37.73775717,126.5102131,23
현대 경로당,노인여가복지시설,인천광역시 강화군 강화읍 강화대로 195,37.73799508,126.5079566,53
강화베이힐 경로당,노인여가복지시설,인천광역시 강화군 강화읍 강화대로 234-12,37.74188009,126.5035031,51
주진빌라 경로당,노인여가복지시설,"인천광역시 강화군 강화읍 강화대로 185-2, 다동 207호",37.73858774,126.508369,27
갑곳6리 그랑드빌 경로당,노인여가복지시설,"인천광역시 강화군 강화읍 갑룡길 35, 101동 101호",37.7435059,126.4970711,71
용정1리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 갑룡길 184,37.74722068,126.5116458,67
용정2리(신양) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 강화대로154번길 38,37.73915837,126.5154298,47
옥림1리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 동문로 176-1,37.75607458,126.5014447,62
옥림2리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 동문로 131,37.75424338,126.4964862,59
옥림리(옥감) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 동문로 255,37.76101457,126.5066148,41
월곳리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 월곳리 412-4,37.77050956,126.5064171,62
월곳리(대묘동) 경로당,노인여가복지시설,인천광역시 강화군 강화읍 강화산단로250번길 36-13,37.7607772,126.4932658,23
대산1리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 대산길 174,37.77321575,126.4949311,106
대산2리 경로당,노인여가복지시설,인천광역시 강화군 강화읍 대산길51번길 3,37.76527208,126.4876415,94
금월1리 경로당,노인여가복지시설,인천광역시 강화군 선원면 대문고개로 34,37.71380744,126.4849149,78
금월2리(대촌) 경로당,노인여가복지시설,인천광역시 강화군 선원면 연동로209번길 53,37.70475293,126.4894961,48
금월2리(기세미) 경로당,노인여가복지시설,인천광역시 강화군 선원면 기세미길 160,37.70047358,126.4948847,50
연리(연화) 경로당,노인여가복지시설,인천광역시 강화군 선원면 연동로162번길 14,37.7062153,126.4993518,40
연리(능진) 경로당,노인여가복지시설,인천광역시 강화군 선원면 연동로 109,37.7046335,126.505229,54
지산1리 경로당,노인여가복지시설,인천광역시 강화군 선원면 와말길 80-1,37.71179668,126.5056059,72
지산2리 경로당,노인여가복지시설,인천광역시 강화군 선원면 선원사지로 190,37.72074356,126.4951739,52
남산대 경로당,노인여가복지시설,인천광역시 강화군 선원면 와말길178번길 6,37.71401519,126.4960872,45
신정1리(도감말) 경로당,노인여가복지시설,인천광역시 강화군 선원면 선원사지로 133,37.72268845,126.5002448,39
신정1리(가재골) 경로당,노인여가복지시설,인천광역시 강화군 선원면 고식이길182번길 34-10,37.7289392,126.5026223,34
신정2리 경로당,노인여가복지시설,인천광역시 강화군 선원면 더리미길 33,37.72223359,126.510585,71
창1리(고시기) 경로당,노인여가복지시설,인천광역시 강화군 선원면 고식이길 80,37.73166104,126.4974473,79
창2리(창골) 경로당,노인여가복지시설,인천광역시 강화군 선원면 중앙로189번길 3,37.72737084,126.4877963,104
세광1차 경로당,노인여가복지시설,인천광역시 강화군 선원면 중앙로 274,37.7244906,126.4785385,53
창4리(세광2차) 경로당,노인여가복지시설,인천광역시 강화군 선원면 대문고개로 133-1,37.72285135,126.4834409,55
선행리 경로당,노인여가복지시설,인천광역시 강화군 선원면 시리미로 104,37.72524113,126.4685379,81
냉정1리 경로당,노인여가복지시설,인천광역시 강화군 선원면 중앙로421번길 3,37.71432745,126.4676695,120
냉정2리 경로당,노인여가복지시설,인천광역시 강화군 선원면 철종외가길 4,37.70695726,126.4809777,64
두운1리 경로당,노인여가복지시설,인천광역시 강화군 불은면 강화동로 562-4,37.68549284,126.4802292,64
두운1리(백운곡) 경로당,노인여가복지시설,인천광역시 강화군 불은면 강화동로726번길 30-74,37.69470728,126.4830914,26
두운2리(장안촌) 경로당,노인여가복지시설,인천광역시 강화군 불은면 불은남로470번길 22-4,37.68058898,126.4938845,37
두운2리(두두미) 경로당,노인여가복지시설,인천광역시 강화군 불은면 고능로 363,37.68260062,126.4911101,80
고능1리(아침가리) 경로당,노인여가복지시설,인천광역시 강화군 불은면 고능로262번길 3,37.69061338,126.4960185,47
고능1리(지래) 경로당,노인여가복지시설,인천광역시 강화군 불은면 고능로 102,37.69149222,126.5096836,43
고능2리(고잔) 경로당,노인여가복지시설,인천광역시 강화군 불은면 고능로195번길 33,37.6856012,126.5044797,59
고능2리(능내촌) 경로당,노인여가복지시설,인천광역시 강화군 불은면 불은남로442번길 46-25,37.68088084,126.5006766,53
오두리 경로당,노인여가복지시설,인천광역시 강화군 불은면 불은남로 293-1,37.67582988,126.5114049,53
넙성리(능곡) 경로당,노인여가복지시설,인천광역시 강화군 불은면 불은남로 193,37.66844981,126.5071093,64
넙성리(북성) 경로당,노인여가복지시설,인천광역시 강화군 불은면 불은남로224번길 21-8,37.66937964,126.5121428,58
신현리 경로당,노인여가복지시설,인천광역시 강화군 불은면 불은남로95번길 3,37.66025381,126.5047143,58
덕성리 경로당,노인여가복지시설,인천광역시 강화군 불은면 덕진로129번길 16,37.65022908,126.5135378,47
덕성리(덕진) 경로당,노인여가복지시설,인천광역시 강화군 불은면 덕진로 49,37.64944936,126.5221964,38
삼동암1리 경로당,노인여가복지시설,인천광역시 강화군 불은면 삼동암길 194,37.6988988,126.4593344,79
삼동암2리 경로당,노인여가복지시설,인천광역시 강화군 불은면 불은북로142번길 2,37.69205342,126.4672083,76
삼성1리 경로당,노인여가복지시설,인천광역시 강화군 불은면 중앙로500번길 2,37.71285071,126.4592028,65
삼성2리 경로당,노인여가복지시설,인천광역시 강화군 불은면 중앙로 694-6,37.70446511,126.4406685,50
온수1리 경로당,노인여가복지시설,인천광역시 강화군 길상면 길상로304번길 4,37.63818414,126.4936917,60
온수2리 경로당,노인여가복지시설,인천광역시 강화군 길상면 온수길36번길 7-1,37.64000238,126.4905692,102
온수2리(원창) 경로당,노인여가복지시설,"인천광역시 강화군 길상면 마니산로 75, 원창빌라 201동 101호",37.63767389,126.484654,55
온수3리 경로당,노인여가복지시설,인천광역시 강화군 길상면 강화남로 99-4,37.64302167,126.4750582,63
선두1리 경로당,노인여가복지시설,인천광역시 강화군 길상면 마니산로179번길 4,37.63520325,126.4737582,66
선두2리 경로당,노인여가복지시설,인천광역시 강화군 길상면 보리고개로 13,37.62145251,126.4713917,75
선두3리 경로당,노인여가복지시설,인천광역시 강화군 길상면 장흥로 239-3,37.62014772,126.4993447,37
선두4리 경로당,노인여가복지시설,인천광역시 강화군 길상면 해안남로 748-6,37.60491179,126.4847136,53
선두5리(선택) 경로당,노인여가복지시설,인천광역시 강화군 길상면 해안남로 602,37.59939748,126.4980437,27
선두5리(택리) 경로당,노인여가복지시설,인천광역시 강화군 길상면 해안남로474번길 13,37.60031416,126.5089182,55
동검리 경로당,노인여가복지시설,인천광역시 강화군 길상면 동검길154번길 36-19,37.58793979,126.5062072,66
초지1리 경로당,노인여가복지시설,인천광역시 강화군 길상면 길상로95번길 37-13,37.63426998,126.5165357,107
초지2리 경로당,노인여가복지시설,인천광역시 강화군 길상면 신촌로53번길 86,37.62532916,126.5206953,112
장흥1리 경로당,노인여가복지시설,인천광역시 강화군 길상면 길상로 185-4,37.63384343,126.504026,104
장흥2리 경로당,노인여가복지시설,인천광역시 강화군 길상면 장흥로 156,37.61944689,126.507815,56
길직1리 경로당,노인여가복지시설,인천광역시 강화군 길상면 피미길32번길 26,37.66115173,126.4818958,67
길직2리(마그네) 경로당,노인여가복지시설,인천광역시 강화군 길상면 강화동로 144,37.65191024,126.4929822,62
길직2리(길촌) 경로당,노인여가복지시설,인천광역시 강화군 길상면 강화동로74번길 53,37.64764716,126.4978191,48
내1리 경로당,노인여가복지시설,인천광역시 강화군 화도면 마니산로 835-12,37.63439084,126.4052366,71
내1리(동산촌) 경로당,노인여가복지시설,인천광역시 강화군 화도면 안골길61번길 10,37.63121953,126.4023888,31
내2리 경로당,노인여가복지시설,인천광역시 강화군 화도면 안골길 103-6,37.63340577,126.3998924,53
내3리 경로당,노인여가복지시설,인천광역시 강화군 화도면 안골길131번길 36-9,37.63659282,126.3988738,53
내4리 경로당,노인여가복지시설,인천광역시 강화군 화도면 해안남로 2752-6,37.63608273,126.3827576,35
상방1리 경로당,노인여가복지시설,인천광역시 강화군 화도면 마니산로739번길 11,37.63215462,126.4159308,114
상방2리 경로당,노인여가복지시설,인천광역시 강화군 화도면 마니산로 654-5,37.63470774,126.4257564,42
상방2리(고창촌) 경로당,노인여가복지시설,인천광역시 강화군 화도면 가능포로47번길 11,37.63757105,126.4172395,38
문산리 경로당,노인여가복지시설,인천광역시 강화군 화도면 마니산로 566,37.63208777,126.4334481,102
