시설명,시설종류,주소,위도,경도,정원(명)
노인인력개발센터,노인일자리지원기관,"인천광역시 계양구 장제로 799, 5층(계산동)",37.539346,126.734103,31
계양시니어클럽,노인일자리지원기관,"인천광역시 계양구 계양산로102번길 5, 사회복지회관 2층",37.54741064,126.7270914,21
계양구 노인복지관,노인여가복지시설,인천광역시 계양구 효서로341번길 11 (작전동 926-6) ,37.528662,126.734723,0
효성노인문화센터,노인여가복지시설,인천광역시 계양구 봉오대로 516(효성동 177-4),37.529542,126.70608,0
계산노인문화센터,노인여가복지시설,인천광역시 계양구 경명대로 980 (계산동 885-24),37.543816,126.715207,0
동양노인문화센터,노인여가복지시설,인천광역시 계양구 동양로 74-29(동양동 387-3),,,0
효성영광노인대학,노인여가복지시설,인천광역시 계양구 봉오대로 543번길 4 (효성동 147-3),,,0
작전평생대학,노인여가복지시설,인천광역시 계양구 주부토로 368(작전동 177),,,0
대한노인회계양구 지회노인대학,노인여가복지시설,인천광역시 계양구 효서로341번길 11 (작전동 926-6),,,0
샛별대학,노인여가복지시설,인천광역시 계양구 안남로490번길 11 (효성동 271-9),,,0
노인행복지원센터,노인여가복지시설,인천광역시 계양구 황어로134번길 28 (장기동 152-5),,,0
비전시니어대학,노인여가복지시설,인천광역시 계양구 봉오대로 581(효성동 15-5),,,0
나솔채양로원,노인주거복지시설,인천광역시 계양구 오류동 80-2,,,24
노틀담사랑터,노인주거복지시설,인천광역시 계양구 장제로920번길 27(병방동 158-3),,,0
계양노인전문요양원,노인의료복지시설,인천광역시 계양구 아나지로 517,,,61
참사랑소망의집,노인의료복지시설,인천광역시 계양구 마장로 559번길 10,,,18
우리복지요양원계양,노인의료복지시설,"인천광역시 계양구 오조산로 57번길 11-1, 5, 8~10층",,,90
아름다운요양원,노인의료복지시설,"인천광역시 계양구 장제로755번길 32, 2층 ",,,20
삼성요양원,노인의료복지시설,"인천광역시 계양구 주부토로 525, 4층",,,23
계양다사랑요양원,노인의료복지시설,"인천광역시 계양구 계산로 148, 4층",,,8
하나미엘요양원,노인의료복지시설,"인천광역시 계양구 경명대로1157,3,4,5,6층",,,42
푸른성노인요양원,노인의료복지시설,"인천광역시 계양구 안남로 480, 1층",,,10
제1푸른성 노인요양원,노인의료복지시설,"인천광역시 계양구 안남로 480, 4층",,,9
샛별요양원,노인의료복지시설,"인천광역시 계양구 장제로 708, 412호",,,5
사랑요양원,노인의료복지시설,"인천광역시 계양구 오조산공원로 22, 6층",,,28
백악관실버타운,노인의료복지시설,"인천광역시 계양구 계양문화로 54, 8~9층",,,37
인천고운빛요양원,노인의료복지시설,"인천광역시 계양구 도두리로 25, 4층",,,29
예지요양원,노인의료복지시설,"인천광역시 계양구 계산새로 85, 501호",,,27
빅토리아요양원,노인의료복지시설,"인천광역시 계양구 계산새로 71, D동 801호(계산동, 하이베라스)",,,61
노인요양시설 한결,노인의료복지시설,"인천광역시 계양구 장제로927번길 4, 1~5층",,,97
더사랑요양원,노인의료복지시설,"인천광역시 계양구 오조산로57번길 11, 3층(계산동)",,,8
새봄요양원,노인의료복지시설,"인천광역시 계양구 오조산로 91, 301호",,,26
가은요양원,노인의료복지시설,"인천광역시 계양구 장제로 708, 801호",,,20
계양 사랑마루,노인의료복지시설,"인천광역시 계양구 계양문화로 15, 2~5층",,,40
새한림요양원,노인의료복지시설,"인천광역시 계양구 장제로 718, 402호",,,19
행복여정요양원,노인의료복지시설,"인천광역시 계양구 오조산로57번길 11,7층",,,24
현대노인전문요양원,노인의료복지시설,"인천광역시 계양구 효서로 3820, 401호",,,43
희망요양원,노인의료복지시설,"인천광역시 계양구 길마로 33, 3층,4층",,,25
간호사랑요양원,노인의료복지시설,"인천광역시 계양구 효서로 230, 601호",,,34
홍시요양원,노인의료복지시설,"인천광역시 계양구 효서로 230, 401호",,,43
포근한요양원,노인의료복지시설,인천광역시 계양구 선주로34번길 3,,,25
미래요양원,노인의료복지시설,"인천광역시 계양구 오조산로57번길 7-1, 301호",,,25
우리누리요양원,노인의료복지시설,"인천광역시 계양구 장제로 732, 5층",,,28
영산요양원,노인의료복지시설,인천광역시 계양구 장제로946번길 7 (병방동),,,17
아름드리요양원,노인의료복지시설,"인천광역시 계양구 경명대로 1023, 2층",,,22
고래요양원,노인의료복지시설,"인천광역시 계양구 계양산로 216번길 3, 4~6층 ",,,48
효성사랑요양원,노인의료복지시설,"인천광역시 계양구 안남로 548,4층",,,27
사랑마을요양원,노인의료복지시설,"인천광역시 계양구 주부토로541, 3층 304호",,,25
진 요양원,노인의료복지시설,"인천광역시 계양구 오조산로 53, 801호, 902호(계산동 1080-2) ",,,47
계양예닮요양원,노인의료복지시설,"인천광역시 계양구 계양대로214, 6층",,,7
美 요양원,노인의료복지시설,"인천광역시 계양구 장제로672, 5층",,,8
참노인요양원,노인의료복지시설,"인천광역시 계양구 계산새로 87번길 15, 3층",,,64
늘푸른요양원,노인의료복지시설,"인천광역시 계양구 효서로 71, 3층",,,7
나들이요양원,노인의료복지시설,인천광역시 계양구 (작전동 910번지 9호),,,29
연세노인전문요양원,노인의료복지시설,인천광역시 계양구 새벌로84(효성동),,,45
효성비전노인 복지센터,노인의료복지시설,"인천광역시 계양구 아나지로 75, 3층",,,41
고운빛요양원,노인의료복지시설,"인천광역시 계양구 도두리로 25, 5층",,,25
다섬요양원,노인의료복지시설,"인천광역시 계양구 아나지로75, 4층",,,49
간호재활요양원,노인의료복지시설,"인천광역시 계양구 아나지로75, 6층",,,48
가득요양원,노인의료복지시설,"인천광역시 계양구 아나지로75, 501호",,,30
가족요양원,노인의료복지시설,인천광역시 계양구 아나지로258(작전동),,,127
강남요양원,노인의료복지시설,"인천광역시 계양구 오조산로 57번길 11-1, 5, 7층",,,27
효성요양원,노인의료복지시설,인천광역시 계양구 봉오대로512번길 5,,,48
벧엘요양원,노인의료복지시설,"인천광역시 계양구 효서로111번길 5(효성동 192-1, 107호)",,,7
효양요양원,노인의료복지시설,"인천광역시 계양구 오조산로 57번길 11-1, 4층",,,41
둥지요양원,노인의료복지시설,"인천광역시 계양구 도두리로25, 7층",,,30
처음간호요양원,노인의료복지시설,"인천광역시 계양구 계산새로71, A동 3층",,,51
너싱홈호수 간호전문요양원,노인의료복지시설,"인천광역시 계양구 장제로718, 6층",,,12
인천하이요양원,노인의료복지시설,"인천광역시 계양구 주부토로 465,3~4층",,,37
가족사랑중앙 효 요양원,노인의료복지시설,"인천광역시 계양구 주부토로 465, 3~4층 (작전동)",,,27
계양늘푸른요양원,노인의료복지시설,인천광역시 계양구 양지로 170(귤현동),,,37
서울요양원,노인의료복지시설,"인천광역시 계양구 장제로 755 (계산동, 원신빌딩)",,,73
장수요양원,노인의료복지시설,인천광역시 계양구 장제로 916(병방동),,,12
계양효요양원,노인의료복지시설,"인천광역시 계양구 장제로 708, 6층(작전동, 한샘프라자)",,,57
프라미스재활요양원,노인의료복지시설,"인천광역시 계양구 계양문화로96, 601호(용종동, 강북프라자)",,,48
포도나무요양원,노인의료복지시설,"인천광역시 계양구 아나지로 75, 501호 (효성동, 효성다섬프라자)",,,27
고은요양원,노인의료복지시설,"인천광역시 계양구 효서로 230, 5층 501호 (작전동, 삼성프라자)",,,24
보담요양원,노인의료복지시설,"인천광역시 계양구 안남로 548, 409호 (효성동, 효성프라자)",,,9
인천강남요양원,노인의료복지시설,"인천광역시 계양구 오조산로57번길 11-1, 2,3층 (계산동, 강남모던빌)",,,18
주사랑요양원,노인의료복지시설,"인천광역시 계양구 봉오대로677번길 29, 4층 (작전동)",,,9
그리심재활요양원,노인의료복지시설,"인천광역시 계양구 경명대로 1111, 4층 (계산동)",,,15
