시설명,시설종류,주소,위도,경도,정원(명)
남동구노인인력개발센터,노인일자리지원기관,인천광역시 남동구 문화서로62번길 13,37.45100844,126.6972681,47
남도시니어클럽,노인일자리지원기관,인천광역시 남동구 문화서로62번길 13,37.45100844,126.6972681,24
남동구노인복지관,노인여가복지시설,인천광역시 남동구 소래로 610,37.44439953,126.7325397,해당 없음
만수노인문화센터,노인여가복지시설,인천광역시 남동구 만경로12번길 45,37.45646335,126.7299175,해당 없음
사할린센터,노인여가복지시설,인천광역시 남동구 논현고잔로 211-21,37.40060511,126.7154771,해당 없음
대구월경로당,노인여가복지시설,인천광역시 남동구 용천로4번길 63-6,37.44984676,126.7179478,해당 없음
동남아파트경로당,노인여가복지시설,인천광역시 남동구 인주대로676번길 19,37.44856452,126.7127144,해당 없음
팬더아파트경로당,노인여가복지시설,인천광역시 남동구 인주대로662번길 32,37.44815638,126.7091615,해당 없음
동아아파트경로당,노인여가복지시설,인천광역시 남동구 인주대로676번길 22,37.44776797,126.7115527,해당 없음
구월아시아드선수촌센트럴자이아파트경로당,노인여가복지시설,인천광역시 남동구 선수촌로 55,37.44329074,126.7124657,해당 없음
구월아시아드선수촌1단지경로당,노인여가복지시설,인천광역시 남동구 선수촌공원로 85,37.44658968,126.7117424,해당 없음
구월아시아드선수촌2단지경로당,노인여가복지시설,인천광역시 남동구 선수촌공원로 96,37.44822813,126.714924,해당 없음
구월아시아드선수촌5단지경로당,노인여가복지시설,인천광역시 남동구 선수촌로 56,37.44452427,126.7173604,해당 없음
구월아시아드선수촌6단지경로당,노인여가복지시설,인천광역시 남동구 선수촌로 27,37.44142075,126.712848,해당 없음
구월유승한내들퍼스티지경로당,노인여가복지시설,인천광역시 남동구 선수촌로 75,37.44630867,126.7165615,해당 없음
구월아시아드선수촌7단지경로당,노인여가복지시설,인천광역시 남동구 선수촌로 7,37.44057491,126.7129529,해당 없음
구월아시아드선수촌8단지경로당,노인여가복지시설,인천광역시 남동구 선수촌로 8,37.44107767,126.7169333,해당 없음
구월2동경로당,노인여가복지시설,인천광역시 남동구 호구포로857번길 23,37.4589154,126.7183357,해당 없음
신세계경로당,노인여가복지시설,인천광역시 남동구 호구포로 858,37.45721276,126.7208626,해당 없음
구월힐스테이트1단지경로당,노인여가복지시설,인천광역시 남동구 구월로 192,37.45647791,126.7104427,해당 없음
롯데캐슬골드(2단지)경로당,노인여가복지시설,인천광역시 남동구 호구포로 803,37.45495934,126.7149672,해당 없음
힐스테이트3단지경로당,노인여가복지시설,인천광역시 남동구 용천로87번길 23,37.45688178,126.7119504,해당 없음
구월2동두드림경로당,노인여가복지시설,인천광역시 남동구 용천로98번길 24,37.45804247,126.715943,해당 없음
구월3동경로당,노인여가복지시설,인천광역시 남동구 문화서로28번길 33-31,37.44875523,126.6980305,해당 없음
대우재경로당,노인여가복지시설,인천광역시 남동구 구월남로94번길 3,37.45329758,126.6997715,해당 없음
성마을경로당,노인여가복지시설,인천광역시 남동구 인주대로604번길 45,37.4477302,126.7039701,해당 없음
구월4동경로당,노인여가복지시설,인천광역시 남동구 모래내로 26,37.45401484,126.7226011,해당 없음
신월경로당,노인여가복지시설,인천광역시 남동구 구월말로3번길 72-3,37.44968095,126.7201092,해당 없음
보훈회관경로당,노인여가복지시설,인천광역시 남동구 인주대로 797-1,37.44900553,126.7259862,해당 없음
구월성문아파트경로당,노인여가복지시설,인천광역시 남동구 호구포로744번길 26,37.44829923,126.7206526,해당 없음
이화경로당,노인여가복지시설,인천광역시 남동구 이화로 8,37.46291495,126.7033579,해당 없음
동일경로당경로당,노인여가복지시설,인천광역시 남동구 구월로60번길 28,37.45595734,126.6966512,해당 없음
금호아파트경로당,노인여가복지시설,인천광역시 남동구 구월로 73,37.45753164,126.6996982,해당 없음
극동아파트경로당,노인여가복지시설,인천광역시 남동구 구월로 78,37.45633548,126.6982609,해당 없음
한진아파트경로당,노인여가복지시설,인천광역시 남동구 경인로524번길 16,37.45875083,126.6974957,해당 없음
현대홈타운아파트경로당,노인여가복지시설,인천광역시 남동구 구월로 65,37.45742341,126.6980499,해당 없음
서해아파트경로당,노인여가복지시설,인천광역시 남동구 구월로157번길 7,37.45751268,126.7061864,해당 없음
간석2동경로당,노인여가복지시설,인천광역시 남동구 석촌로14번길 63,37.46207124,126.7127318,해당 없음
용광경로당,노인여가복지시설,인천광역시 남동구 석산로 207,37.46098751,126.7149884,해당 없음
금호어울림마을경로당,노인여가복지시설,인천광역시 남동구 석산로 138,37.46004116,126.7066967,해당 없음
간석래미안자이경로당,노인여가복지시설,인천광역시 남동구 남동대로 860,37.46014705,126.7089669,해당 없음
만월산경로당,노인여가복지시설,인천광역시 남동구 간석로 72번길 39-9,37.46471332,126.716236,해당 없음
공원촌경로당,노인여가복지시설,인천광역시 남동구 간석로 92,37.46551056,126.7174658,해당 없음
삼거리장수경로당,노인여가복지시설,인천광역시 남동구 경인로764번길 21,37.47753914,126.7116415,해당 없음
돌말경로당,노인여가복지시설,인천광역시 남동구 간석로31번길 15,37.46799762,126.7116807,해당 없음
팬더아파트경로당,노인여가복지시설,인천광역시 남동구 경인로742번길 46,37.47465997,126.7103681,해당 없음
태화아파트경로당,노인여가복지시설,인천광역시 남동구 호구포로900번길 5,37.46360201,126.720946,해당 없음
두진아파트경로당,노인여가복지시설,인천광역시 남동구 호구포로899번길 8,37.46312948,126.7197446,해당 없음
동원아파트경로당,노인여가복지시설,인천광역시 남동구 간석로66번길 29,37.46483888,126.7153521,해당 없음
시온경로당,노인여가복지시설,인천광역시 남동구 만월북로 46,37.47086557,126.7185614,해당 없음
간석LH1단지경로당,노인여가복지시설,"인천광역시 남동구 백범로294번길15,19",37.46362627,126.7173623,해당 없음
간석LH2단지아파트경로당,노인여가복지시설,"인천광역시 남동구 백범로294번길16,20",37.46240409,126.7184909,해당 없음
간석4동경로당,노인여가복지시설,인천광역시 남동구 벽돌말로3번길 6,37.46753574,126.7007573,해당 없음
석천경로당,노인여가복지시설,인천광역시 남동구 예술로360번길 8,37.46603094,126.7032137,해당 없음
주원경로당,노인여가복지시설,인천광역시 남동구 주안로247번길 18,37.46409494,126.6975839,해당 없음
우성아파트경로당,노인여가복지시설,인천광역시 남동구 방축로 501,37.46687026,126.6935115,해당 없음
간석현대아파트경로당,노인여가복지시설,인천광역시 남동구 방축로 493,37.46824543,126.6940189,해당 없음
영남아파트경로당,노인여가복지시설,인천광역시 남동구 경원대로 950,37.4672703,126.6905767,해당 없음
간석광명아파트경로당,노인여가복지시설,인천광역시 남동구 방축로 492,37.46638006,126.692367,해당 없음
"현광A(가, 나동)경로당",노인여가복지시설,인천광역시 남동구 경원대로939번길 45,37.46732007,126.6877498,해당 없음
풍림아파트경로당,노인여가복지시설,인천광역시 남동구 석산로 35,37.46244599,126.6975786,해당 없음
간석신원아침도시아파텔경로당,노인여가복지시설,인천광역시 남동구 경원대로 972,37.46942135,126.6911723,해당 없음
간석신동아아파트경로당,노인여가복지시설,인천광역시 남동구 염전로 440,37.46824035,126.6894859,해당 없음
간석한신더휴경로당,노인여가복지시설,인천광역시 남동구 석정로461번길 50,37.46837708,126.6880026,해당 없음
만수1동경로당,노인여가복지시설,인천광역시 남동구 하촌로51번길 5,37.45234526,126.7324057,해당 없음
만수하촌경로당,노인여가복지시설,인천광역시 남동구 하촌서로17번길 26,37.45048829,126.7281311,해당 없음
삼환아파트 1단지경로당,노인여가복지시설,인천광역시 남동구 인주대로 857,37.44976936,126.7325057,해당 없음
삼환아파트 2단지경로당,노인여가복지시설,인천광역시 남동구 소래로 677,37.45043203,126.7338055,해당 없음
주공아파트 7단지경로당,노인여가복지시설,인천광역시 남동구 담방로 105,37.45042499,126.7398973,해당 없음
주공아파트 8단지경로당,노인여가복지시설,인천광역시 남동구 담방로 105,37.45042499,126.7398973,해당 없음
