시설명,시설종류,주소,위도,경도,정원(명)
동구노인복지관,노인여가복지시설,인천광역시 동구 샛골로 177(송림동),37.4783246,126.6446762,해당없음
동구노인문화센터,노인여가복지시설,인천광역시 동구 솔빛로 13(송현동),37.4768531,126.6349575,해당없음
성언의집재가노인지원서비스센터,재가노인복지시설,인천광역시 동구 화도진로79번길 10(화평동),37.478916,126.630253,80
금곡노인요양원,노인의료복지시설,샛골로 141번길 21 (송림동),37.474855,126.643306,해당없음
행복한효요양원,노인의료복지시설,"송림로 24, 2층 203호 (금곡동, 두손피카디리빌딩)",37.473189,126.63783,해당없음
아가페요양원,노인의료복지시설,"송림로 24, 3층 304호 (금곡동, 두손피카디리빌딩)",37.473189,126.63783,해당없음
동인천요양원,노인의료복지시설,"송림로 24, 4층 402호 (금곡동, 두손피카디리빌딩)",37.473189,126.63783,해당없음
행복한효요양원2호점,노인의료복지시설,"송림로 24, 2층 206호 (금곡동, 두손피카디리빌딩)",37.473189,126.63783,해당없음
시니어빌리지요양원,노인의료복지시설,송림로129 (송림동),37.477391,126.648711,해당없음
미래간호요양원,노인의료복지시설,"송림로 24, 5층 502-2호 (금곡동,두손피카디리빌딩)",37.473189,126.63783,해당없음
미래간호요양원2호점,노인의료복지시설,"송림로 24, 5층 501호 (금곡동,두손피카디리빌딩)",37.473189,126.63783,해당없음
만석동 제1경로당,노인여가복지시설,인천광역시 동구 보세로20,,,
만석동 제2경로당,노인여가복지시설,인천광역시 동구 어촌로5번길 3-3,,,
만석동 제3경로당,노인여가복지시설,인천광역시 동구 인중로 377,,,
만석비치@ 경로당,노인여가복지시설,"인천광역시 동구 화도진로 187, 107동",,,
괭이부리마을 경로당,노인여가복지시설,인천광역시 동구 화도진로 170,,,
만석웰카운티@경로당,노인여가복지시설,"인천광역시 동구 화도진로 142, 102동 1층(만석웰카운티아파트)",,,
화수1동 경로당,노인여가복지시설,인천광역시 동구 화도진로 120,,,
화평동 경로당,노인여가복지시설,인천광역시 동구 화도진로68번길 8(화평동),,,
화도진그린빌@ 경로당,노인여가복지시설,인천광역시 동구 화도진로 113,,,
영풍@ 경로당,노인여가복지시설,인천광역시 동구 화도진로 132,,,
화수2동 경로당,노인여가복지시설,인천광역시 동구 화수로 73번길 6,,,
화수부두 경로당,노인여가복지시설,인천광역시 동구 화수부두로 35번길 8-1,,,
삼두1차@ 경로당,노인여가복지시설,인천광역시 동구 수문통로 33 삼두1차아파트,,,
삼두2차@ 경로당,노인여가복지시설,인천광역시 동구 화수로 21(송현동 삼두2차아파트),,,
동부@ 경로당,노인여가복지시설,"인천광역시 동구 화수로 38(송현동, 동부아파트)",,,
미륭@ 경로당,노인여가복지시설,"인천광역시 동구 화수로 44(화수동, 미륭아파트)",,,
송현2동 경로당,노인여가복지시설,인천광역시 동구 송현로 15번길 7,,,
솔빛주공1차@ 경로당,노인여가복지시설,"인천광역시 동구 송현로 50(송현동, 솔빛주공아파트)",,,
솔빛주공2차@경로당,노인여가복지시설,인천광역시 동구 송현로 39,,,
솔빛마을주공2차2단지@ 경로당,노인여가복지시설,인천광역시 동구 화수로 8-10,,,
송현@ 경로당,노인여가복지시설,"인천광역시 동구 인중로 635(송현동, 송현아파트)",,,
송현주공@ 경로당,노인여가복지시설,"인천광역시 동구 인중로 653(송현동, 주공아파트)",,,
동인천역파크푸르지오 경로당,노인여가복지시설,인천광역시 동구 화도진로16,,,
송림2동 경로당,노인여가복지시설,"인천광역시 동구 솔빛로91번길 2-1, 2층",,,
송림5동 경로당,노인여가복지시설,"인천광역시 동구 동산로81, 청래옥 2층(송림동)",,,
진로@ 경로당,노인여가복지시설,인천광역시 동구 새천년로10번길 9,,,
동산휴먼시아1단지 경로당,노인여가복지시설,인천광역시 동구 재능로 191,,,
동산휴먼시아2단지 경로당,노인여가복지시설,인천광역시 동구 새천년로 38번길 11(동산휴먼시아),,,
송림주공 경로당,노인여가복지시설,인천광역시 동구 재능로 86,,,
박문마을경로당,노인여가복지시설,인천광역시 동구 박문로 8,,,
송림4동 경로당,노인여가복지시설,"인천광역시 동구 봉수대로8번길 3, 1층(송희마을주민공동이용시설)",,,
브리즈힐@경로당,노인여가복지시설,"인천광역시 동구 송림로162번길 9, 107동 1층",,,
송림휴먼시아1단지@ 경로당,노인여가복지시설,인천광역시 동구 송향로 25(송림휴먼시아1단지아파트),,,
송림6동 제1경로당,노인여가복지시설,인천광역시 동구 육송로 55,,,
송림6동 제2경로당,노인여가복지시설,인천광역시 동구 송미로23번길 18,,,
송림풍림아이원@ 경로당,노인여가복지시설,인천광역시 동구 송미로 6(송림동풍림아이원아파트),,,
금창동 경로당,노인여가복지시설,인천광역시 동구 금곡로 66번길 8,,,
배다리 경로당,노인여가복지시설,"인천광역시 동구 금곡로 17, 1층",,,
