시설명,시설종류,주소,위도,경도,정원(명)
주안해피타운,노인의료복지시설,인천광역시 미추홀구 주승로 129 (주안동),37.44579636,126.6847222,55
인천은혜요양원,노인의료복지시설,인천광역시 미추홀구 길파로29번길 53 (주안동),37.46871997,126.6766709,60
햇살노인전문요양원,노인의료복지시설,인천광역시 미추홀구 인중로 13 (숭의동),37.46247938,126.6410163,95
천사의집노인요양원,노인의료복지시설,인천광역시 미추홀구 소성로318번길 30 (문학동),37.43638829,126.6820731,60
인천사랑노인요양원,노인의료복지시설,인천광역시 미추홀구 낙섬서로 3-14 (용현동),37.45055575,126.6331389,60
행복한요양원,노인의료복지시설,"인천광역시 미추홀구 경원대로 858 (주안동,씨티프라자 7층)",37.4593647,126.6898433,42
효다함요양원,노인의료복지시설,"인천광역시 미추홀구 독배로 443, 411호 (숭의동)",37.4588359,126.6481512,42
온유한요양원,노인의료복지시설,인천광역시 미추홀구 주안로 150 (주안동),37.46348396,126.6864388,106
노아요양원,노인의료복지시설,"인천광역시 미추홀구 경원대로 892, 2층 (주안동)",37.46243974,126.6901112,79
햇살누리요양센터,노인의료복지시설,인천광역시 미추홀구 독배로 431 (용현동),37.45792912,126.6489993,46
노인요양원 행복의집,노인의료복지시설,"인천광역시 미추홀구 아암대로29번길 86, 5층 (용현동, 백제당빌딩)",37.45631794,126.6409036,9
인일효요양원,노인의료복지시설,"인천광역시 미추홀구 한나루로 604, 1801호 (도화동, 롯데월드타워)",37.45984908,126.6729642,29
주안愛요양원,노인의료복지시설,"인천광역시 미추홀구 주안중로50번길 3 (주안동, 부건프라자 5,6층)",37.46308776,126.6830834,41
노인요양원 행복의집Ⅱ,노인의료복지시설,"인천광역시 미추홀구 아암대로29번길 86, 4층 (용현동, 백제당빌딩)",37.45631794,126.6409036,9
남구늘푸른노인요양원,노인의료복지시설,"인천광역시 미추홀구 소성로 193-26 (학익동, 동남빌딩 2~5층)",37.4414108,126.6701712,29
