시설명,시설종류,주소,위도,경도,정원(명)
(주)푸른숲실버케어 재가노인복지센터,재가노인복지시설,"인천광역시 부평구 장제로 191, 2층 (부평동)",37.50268491,126.7306173,
(주)행복한효마을,재가노인복지시설,"인천광역시 부평구 부평대로 83, 203호, 1101호 (부평동)",37.49894906,126.721735,37
100세 효 요양원,노인의료복지시설,"인천광역시 부평구 충선로209번길 41, 5, 6층 (삼산동)",37.5079552,126.73391,29
가나재가복지센터,재가노인복지시설,"인천광역시 부평구 마장로 462, 301호 (청천동)",37.51938119,126.7048824,
가온재가복지센터,재가노인복지시설,"인천광역시 부평구 신트리로 68-12, 102호 (부평동)",37.50561727,126.7284753,
가족사랑 삼산요양원,노인의료복지시설,"인천광역시 부평구 체육관로 38, 901, 1002호 (삼산동, 세원빌딩)",37.50825479,126.7358051,38
가족요양원,노인의료복지시설,"인천광역시 부평구 마장로 256, 301호 (산곡동, 산곡프라자)",37.5006656,126.7031245,29
가족재가노인복지센터,재가노인복지시설,"인천광역시 부평구 주부토로 193, 상가동 205-1호 (갈산동, 대동아파트)",37.51269404,126.724634,
간호박사요양원,노인의료복지시설,"인천광역시 부평구 체육관로 40, 10 (삼산동, 신영프라자)",37.5082404,126.7361447,28
갈산효도주야간보호센터,재가노인복지시설,"인천광역시 부평구 주부토로 223, 3층 (갈산동)",37.51513053,126.7258143,32
갈산효드림 노인주야간보호센터,재가노인복지시설,"인천광역시 부평구 주부토로 261, 204호 (갈산동, 신협빌딩)",37.51837584,126.7267998,26
고은손 요양원,노인의료복지시설,"인천광역시 부평구 주부토로 261, 5,6층 (갈산동)",37.51837584,126.7267998,49
고은손복지용구,재가노인복지시설,"인천광역시 부평구 원적로 471, 1층 (부평동)",37.50351593,126.7191125,
국민재가복지센터,재가노인복지시설,"인천광역시 부평구 갈월동로29번길 40-7, 2층 (갈산동)",37.50999001,126.7278923,
굿케어 재가복지센터,재가노인복지시설,인천광역시 부평구 경인로1092번길 34 (부개동),37.48489204,126.740122,
굿힐링요양원,노인의료복지시설,"인천광역시 부평구 주부토로 223, 601호 (갈산동, 금강프라자)",37.51513053,126.7258143,26
그라시아의집노인전문요양원,노인의료복지시설,"인천광역시 부평구 경원대로 1286, 6층 (부평동, 부평메디아나센터)",37.49042616,126.7118501,49
글로리 요양원,노인의료복지시설,"인천광역시 부평구 장제로 153, 3층 (부평동)",37.49923837,126.7301893,25
금빛재가복지센터,재가노인복지시설,인천광역시 부평구 부평문화로142번길 1 (부평동),37.49384429,126.7321577,
기쁨노인전문요양원,노인의료복지시설,"인천광역시 부평구 충선로203번길 40, 7층 (삼산동, 씨앤씨로데오1)",37.50762333,126.7340513,31
길벗방문요양센터,재가노인복지시설,"인천광역시 부평구 부평대로 9, 1214호 (부평동)",37.49210129,126.7225753,
나누리요양원,노인의료복지시설,"인천광역시 부평구 장제로 170, 2,3층 201,301호 (부평동)",37.50048239,126.7310843,26
나눔과기쁨노인복지센터,재가노인복지시설,"인천광역시 부평구 신촌로 55, 1층 (부평동)",37.48824474,126.7109377,
노블케어 노인복지용구 인천부천점,재가노인복지시설,"인천광역시 부평구 충선로 191, 201호 (부개동)",37.50640874,126.7359041,
누림 주야간보호센터,재가노인복지시설,"인천광역시 부평구 부평문화로 208, 2층 (부개동)",37.49334594,126.7394826,34
늘사랑전문요양원,노인의료복지시설,"인천광역시 부평구 체육관로 32 (삼산동, 하이존빌딩 8,9층)",37.50828381,126.7351486,41
다올재가노인복지센터,재가노인복지시설,"인천광역시 부평구 부평대로167번길 54, 306-3호 (청천동)",37.50639447,126.7178419,
다인재가복지센터,재가노인복지시설,"인천광역시 부평구 대보로12번길 11, 1층 3호 (삼산동)",37.5183922,126.7401025,
대한실버재가복지센터,재가노인복지시설,"인천광역시 부평구 경인로1059번길 7, 3층 (부개동)",37.48730749,126.7376504,
더나은요양원,노인의료복지시설,"인천광역시 부평구 장제로 361, 301호 (갈산동)",37.51794589,126.7320672,9
더드림행복재가복지센터,재가노인복지시설,"인천광역시 부평구 부흥북로117번길 9-4, 1층 (부개동)",37.5012837,126.7352327,
더행복한재가요양센터,재가노인복지시설,"인천광역시 부평구 화랑로 110, 1층 (산곡동)",37.49271458,126.7027643,
동수사랑요양원,노인의료복지시설,"인천광역시 부평구 안남로 5 (부평동, 3층,6~8층)",37.48531088,126.7170599,29
동수성모요양원,노인의료복지시설,인천광역시 부평구 안남로 5 (부평동),37.48531088,126.7170599,29
동암샛별요양원,노인의료복지시설,"인천광역시 부평구 동암남로 17, 4층 (십정동)",37.47096714,126.7055478,9
동암재가복지센터,재가노인복지시설,인천광역시 부평구 하정로20번길 2 (십정동),37.47410275,126.7022604,
