시설명,시설종류,주소,위도,경도,정원(명)
청라백세마을,노인주거복지시설,인천광역시 서구 로봇랜드로249번길 14,37.52910944,126.6100343,64
예향원,노인주거복지시설,인천광역시 서구 세자봉로76번길 11,37.60987758,126.6515481,9
마리스텔라,노인주거복지시설,인천광역시 서구 심곡로100번길 31,37.54227375,126.6855042,528
더시그넘하우스 청라,노인주거복지시설,인천광역시 서구 담지로 60,37.5354712,126.6610292,188
내리요양원,노인의료복지시설,인천광역시 서구 봉수대로1394번길 12,37.59678296,126.6523272,63
인천신생요양원,노인의료복지시설,인천광역시 서구 드림로 284-4,37.58312518,126.6706201,78
인천천사요양원,노인의료복지시설,인천광역시 서구 드림로 284-6,37.58288774,126.6709653,78
낙원요양원,노인의료복지시설,인천광역시 서구 완정로10번길 6-7,37.59487164,126.6737991,90
서천노인요양원,노인의료복지시설,인천광역시 서구 심곡로132번길 22,37.54553472,126.6845891,49
인천 부모섬김요양원,노인의료복지시설,인천광역시 서구 검단로 504,37.60272694,126.6601514,69
인천원당 사랑마루,노인의료복지시설,인천광역시 서구 원당대로 853,37.59400911,126.6964593,28
성모요양원,노인의료복지시설,인천광역시 서구 심곡로100번길 31,37.54227375,126.6855042,48
하나요양원,노인의료복지시설,인천광역시 서구 승학로197번길 20-9,37.54144052,126.6715084,29
참사랑요양원,노인의료복지시설,인천광역시 서구 검단로 505,37.60330621,126.6601901,28
연희요양원,노인의료복지시설,인천광역시 서구 탁옥로 88,37.54350353,126.6792418,63
지구촌요양원,노인의료복지시설,인천광역시 서구 검단로 505,37.60330621,126.6601901,27
해피실버요양원,노인의료복지시설,인천광역시 서구 검단로502번길 18,37.60143374,126.6607088,36
미래복지요양센터,노인의료복지시설,인천광역시 서구 드림로 227,37.58403852,126.6641633,240
효담요양원,노인의료복지시설,인천광역시 서구 완정로 163,37.60170647,126.6580876,29
도란도란요양원,노인의료복지시설,인천광역시 서구 검단로 531,37.60425564,126.662755,29
반딧불노인요양원,노인의료복지시설,인천광역시 서구 가정로 186-3,37.50139989,126.6722656,45
가현요양원,노인의료복지시설,인천광역시 서구 완정로 19,37.59486178,126.671738,25
주은요양원,노인의료복지시설,인천광역시 서구 신진말로 26,37.49293874,126.6784919,26
국제메디칼요양원,노인의료복지시설,인천광역시 서구 탁옥로 104,37.5434517,126.6810324,45
두드림요양전문센터,노인의료복지시설,인천광역시 서구 봉오재3로 116,37.5271215,126.6726405,29
검단희망요양원,노인의료복지시설,인천광역시 서구 완정로 159,37.60153952,126.6584302,28
꽃마루요양원,노인의료복지시설,인천광역시 서구 봉화로223번안길 5,37.61250547,126.6370767,34
효사랑요양원,노인의료복지시설,인천광역시 서구 완정로 19,37.59486178,126.671738,39
아름다운 요양원,노인의료복지시설,인천광역시 서구 가정로 230,37.50522592,126.6725013,47
그레이스힐 요양원,노인의료복지시설,인천광역시 서구 검단로623번길 17,37.61007339,126.6687889,49
다온실버케어요양원,노인의료복지시설,인천광역시 서구 고산후로 97,37.59249095,126.6988859,82
해피섬김요양원,노인의료복지시설,인천광역시 서구 검단로502번길 18,37.60143374,126.6607088,24
참조은요양원,노인의료복지시설,인천광역시 서구 신진말로 39,37.49341381,126.6801731,21
시온의빛 요양원,노인의료복지시설,인천광역시 서구 원당대로820번1길 13,37.59349423,126.6913284,25
에덴사랑의집,노인의료복지시설,인천광역시 서구 고산후로95번길 10,37.5925401,126.6981269,29
길요양원,노인의료복지시설,인천광역시 서구 고산후로 190,37.60070183,126.6990615,20
검단햇살요양원,노인의료복지시설,인천광역시 서구 원당대로 853,37.59400911,126.6964593,29
검단메디컬요양원,노인의료복지시설,인천광역시 서구 완정로 179,37.60227972,126.6565195,29
인혜요양원,노인의료복지시설,인천광역시 서구 서곶로 270-1,37.54153796,126.6772411,49
간호사랑요양원,노인의료복지시설,인천광역시 서구 탁옥로 37,37.54415472,126.6736678,47
가나요양원,노인의료복지시설,인천광역시 서구 연희로42번길 14,37.55057412,126.6724916,29
로뎀애요양원,노인의료복지시설,인천광역시 서구 심곡로208번길 23,37.55147406,126.6849521,29
청라더사랑 요양원,노인의료복지시설,인천광역시 서구 중봉대로586번길 15,37.53210778,126.651382,27
푸른솔요양원,노인의료복지시설,인천광역시 서구 승학로 577,37.56739667,126.6832306,28
서구삼성요양원,노인의료복지시설,인천광역시 서구 건지로284번길 5,37.49872492,126.6738691,29
두드림요양원,노인의료복지시설,인천광역시 서구 심곡로 78,37.54186664,126.678232,29
고은빛요양원,노인의료복지시설,인천광역시 서구 대촌로 11,37.59506281,126.6321213,29
굿모닝재활요양원,노인의료복지시설,인천광역시 서구 원당대로 865,37.59388514,126.6977602,42
노블레스요양원,노인의료복지시설,인천광역시 서구 오류로26번길 9,37.59648639,126.630304,75
늘사랑요양원,노인의료복지시설,인천광역시 서구 청라커낼로 280,37.53340767,126.6449479,49
노엘요양원,노인의료복지시설,인천광역시 서구 단봉로 191,37.59697806,126.6305493,73
벧엘요양원,노인의료복지시설,인천광역시 서구 완정로 144,37.60122147,126.6602088,28
다솔요양원,노인의료복지시설,인천광역시 서구 원당대로819번길 7-3,37.59470483,126.6920653,49
클래상스요양원,노인의료복지시설,인천광역시 서구 서달로20번길 7,37.50035935,126.6790363,94
미소인요양원,노인의료복지시설,인천광역시 서구 서달로 14-7,37.49999766,126.6788316,49
검단진노인요양시설,노인의료복지시설,인천광역시 서구 마전로115번길 2-6,37.60854437,126.6684098,29
한사랑요양원,노인의료복지시설,인천광역시 서구 심곡로208번길 14,37.5512891,126.6838106,42
행복드림요양원,노인의료복지시설,인천광역시 서구 연희로39번길 16,37.54799052,126.6724598,41
행복요양원,노인의료복지시설,인천광역시 서구 승학로 577,37.56739667,126.6832306,24
검암요양원,노인의료복지시설,인천광역시 서구 승학로 528,37.5656444,126.6783574,29
늘편한요양원,노인의료복지시설,인천광역시 서구 도요지로42번길 21-1,37.55711832,126.655308,29
드림숲요양원,노인의료복지시설,인천광역시 서구 단봉로 183,37.59675998,126.6313527,49
더나은재활요양원,노인의료복지시설,인천광역시 서구 장고개로 277-1,37.48889451,126.6825288,49
검단 다은요양원,노인의료복지시설,인천광역시 서구 고산후로95번길 28,37.59271037,126.6959806,18
샬롬요양원,노인의료복지시설,인천광역시 서구 검단로 474,37.60164083,126.6571073,29
온누리노인요양원,노인의료복지시설,인천광역시 서구 고산로45번길 18,37.59740417,126.6997176,44
다정요양원,노인의료복지시설,인천광역시 서구 고산후로95번안길 21,37.59289296,126.6972606,29
가현재활요양원,노인의료복지시설,인천광역시 서구 완정로 70,37.59801105,126.6673174,28
해오름재활요양원,노인의료복지시설,인천광역시 서구 완정로 70,37.59801105,126.6673174,28
사랑재활요양원,노인의료복지시설,인천광역시 서구 완정로 70,37.59801105,126.6673174,28
노인요양시설 혜움,노인의료복지시설,인천광역시 서구 심곡로56번길 17,37.54062514,126.6759835,49
두담노인전문요양원,노인의료복지시설,인천광역시 서구 대촌로 9,37.59489654,126.6320748,29
이레행복요양원,노인의료복지시설,인천광역시 서구 경서로32번길 3-8,37.55588563,126.6547082,29
모니카요양원,노인의료복지시설,인천광역시 서구 연희로42번길 6,37.54972747,126.6725636,45
인천요양원,노인의료복지시설,인천광역시 서구 장고개로 262,37.48773655,126.6812626,71
온마음요양원,노인의료복지시설,인천광역시 서구 완정로 159,37.60153952,126.6584302,28
시온휴요양원,노인의료복지시설,인천광역시 서구 심곡로 53,37.54230579,126.6756626,90
소나무요양원,노인의료복지시설,인천광역시 서구 고산후로121번길 25,37.59463222,126.6964511,29
가현산재활요양원,노인의료복지시설,인천광역시 서구 대곡로 411,37.63116933,126.6506641,99
다인실버타운요양원,노인의료복지시설,인천광역시 서구 대곡로 415,37.63139807,126.6502424,99
라포레실버요양원,노인의료복지시설,인천광역시 서구 대곡로 413,37.63163637,126.6509094,99
검단품안에요양원,노인의료복지시설,인천광역시 서구 검단로623번길 13,37.60985515,126.6692207,29
동국휴요양원,노인의료복지시설,인천광역시 서구 검단로 505,37.60330621,126.6601901,29
새빛요양원,노인의료복지시설,인천광역시 서구 원당대로 865,37.59388514,126.6977602,26
더편한 요양원,노인의료복지시설,인천광역시 서구 완정로 153,37.60136992,126.6588219,27
환영간호전문요양원,노인의료복지시설,인천광역시 서구 경서로56번길 15-5,37.55803875,126.655238,29
효나무의료복지요양원,노인의료복지시설,인천광역시 서구 검단로 508,37.60293638,126.6606683,0
가족사랑요양원,노인의료복지시설,인천광역시 서구 신석로112번길 24,37.50774075,126.674145,24
보람요양원,노인의료복지시설,인천광역시 서구 완정로 144,37.60122147,126.6602088,15
메디홈요양원,노인의료복지시설,인천광역시 서구 청라에메랄드로 78,37.53212246,126.6568223,27
검단요양원,노인의료복지시설,인천광역시 서구 완정로 144,37.60122147,126.6602088,14
검단봄요양원,노인의료복지시설,인천광역시 서구 고산후로95번길 28,37.59271037,126.6959806,39
그라테스요양원,노인의료복지시설,인천광역시 서구 대곡로 397-1,37.63022015,126.6530482,29
검단우리요양원,노인의료복지시설,인천광역시 서구 고산후로95번길 28,37.59271037,126.6959806,26
아름다운인생프리미엄 요양원,노인의료복지시설,인천광역시 서구 대곡로 397-3,37.62982615,126.6523228,29
대곡실버요양원,노인의료복지시설,인천광역시 서구 대곡로 397-2,37.62965363,126.6521124,29
검단힘찬요양원,노인의료복지시설,인천광역시 서구 원당대로 853,37.59400911,126.6964593,29
굿모닝요양원,노인의료복지시설,인천광역시 서구 건지로334번길 3,37.49777373,126.6792002,49
월드실버타운 요양원,노인의료복지시설,인천광역시 서구 서달로149번길 6-8,37.5124367,126.6782976,29
복지콜노인요양공동생활가정,노인의료복지시설,인천광역시 서구 완정로64번길 12,37.59729336,126.6685766,9
새생명요양원,노인의료복지시설,인천광역시 서구 완정로 179,37.60227972,126.6565195,9
믿음요양원,노인의료복지시설,인천광역시 서구 가정로 302,37.51172093,126.6728115,9
소망요양원,노인의료복지시설,인천광역시 서구 가정로 302,37.51172093,126.6728115,9
사랑 요양원,노인의료복지시설,인천광역시 서구 가정로 302,37.51172093,126.6728115,9
두드림공동생활가정,노인의료복지시설,인천광역시 서구 심곡로 78,37.54186664,126.678232,9
태화인천재가노인지원서비스센터,재가노인복지시설,인천광역시 서구 심곡로124번길 10,37.54415409,126.6826937,0
성광재가노인지원서비스센터,재가노인복지시설,인천광역시 서구 가정로126번길 23,37.49581602,126.6742572,0
성모재가노인지원서비스센터,재가노인복지시설,인천광역시 서구 탁옥로 105,37.54386416,126.6814917,0
서구재가노인지원서비스센터,재가노인복지시설,인천광역시 서구 신석로121번길 10,37.51076336,126.6760543,17
복지콜주야간보호센터,재가노인복지시설,인천광역시 서구 완정로64번길 12,37.59729336,126.6685766,64
샬롬재가복지센터,재가노인복지시설,인천광역시 서구 고래울로 23-14,37.48735037,126.6857666,0
샬롬노인복지센터,재가노인복지시설,인천광역시 서구 완정로64번길 7,37.59831996,126.6676222,0
성문노인복지센터,재가노인복지시설,인천광역시 서구 고산로40번1길 28,37.59892456,126.7007713,16
두드림주간보호센터,재가노인복지시설,인천광역시 서구 심곡로 78,37.54186664,126.678232,49
기억너머주야간보호센터,재가노인복지시설,인천광역시 서구 도곡로 198,37.63627198,126.6612694,43
검단보람노인복지센터,재가노인복지시설,인천광역시 서구 청마로7번길 15,37.5932133,126.6722452,0
사랑나눔회 복지센터,재가노인복지시설,인천광역시 서구 승학로495번길 4-1,37.56596598,126.6749752,
복지콜노인복지센터주식회사,재가노인복지시설,인천광역시 서구 완정로64번길 12,37.59729336,126.6685766,0
천사노인복지센터,재가노인복지시설,인천광역시 서구 고산후로95번길 28,37.59271037,126.6959806,0
청라성심노인주간보호센터,재가노인복지시설,인천광역시 서구 크리스탈로 100,37.53386505,126.6369274,51
누리주야간보호센터,재가노인복지시설,인천광역시 서구 원당대로 848,37.59337388,126.695569,32
다효주간보호센터,재가노인복지시설,인천광역시 서구 탁옥로98번길 1,37.543468,126.6806949,48
