시설명,시설종류,주소,위도,경도,정원(명)
평복영락양로원,노인주거복지시설,인천광역시 연수구 청량로 51,37.41353089,126.6598487,58.0
모심과돌봄노인요양시설,노인의료복지시설,"인천광역시 연수구 청명로 34 (청학동, 4층,5층,6층,7층)",37.4182133,126.6763943,84.0
해오름요양원,노인의료복지시설,인천광역시 연수구 예술로22번길 76 (선학동),37.43538123,126.702714,106.0
간호나라2요양원,노인의료복지시설,"인천광역시 연수구 청능대로 71, 7층 (청학동)",37.41582064,126.6743465,29.0
개나리요양원,노인의료복지시설,"인천광역시 연수구 청솔로 11, 2,3층 (청학동, 백화빌딩)",37.42782721,126.6611646,36.0
송도요양원,노인의료복지시설,인천광역시 연수구 청능대로 54 (동춘동),37.41662753,126.672378,96.0
창덕궁그린케어요양원,노인의료복지시설,인천광역시 연수구 예술로20번길 3 (선학동),37.43596115,126.6989073,65.0
행복나눔요양원,노인의료복지시설,"인천광역시 연수구 벚꽃로 106, 1201호 (청학동)",37.41762795,126.6772293,47.0
효도마을연수지점,노인의료복지시설,인천광역시 연수구 함박뫼로50번길 99 (연수동),37.41898209,126.6782674,18.0
축복전문요양원,노인의료복지시설,"인천광역시 연수구 용담로 115, 5층 (연수동)",37.41511159,126.6778157,17.0
고은요양원(주),노인의료복지시설,인천광역시 연수구 용담로85번길 12 (청학동),37.4169435,126.6756485,108.0
소나무요양원,노인의료복지시설,"인천광역시 연수구 비류대로 184, 6층 (옥련동)",37.42788428,126.6550738,45.0
송도제일요양원,노인의료복지시설,인천광역시 연수구 한나루로 74 (옥련동),37.42180781,126.6460766,84.0
한가족간호재활요양원,노인의료복지시설,"인천광역시 연수구 청능대로 71, 2층 (청학동)",37.41582064,126.6743465,25.0
간호나라요양원,노인의료복지시설,"인천광역시 연수구 청능대로 71, 8층 (청학동)",37.41582064,126.6743465,29.0
청학숲요양원,노인의료복지시설,인천광역시 연수구 청솔로 158 (청학동),37.43393477,126.6586492,25.0
늘푸름요양원,노인의료복지시설,"인천광역시 연수구 비류대로 184, 5층 (옥련동)",37.42788428,126.6550738,45.0
연수인하요양원,노인의료복지시설,인천광역시 연수구 학나래로118번길 30 (선학동),37.42707593,126.6979989,24.0
필그림요양원,노인의료복지시설,"인천광역시 연수구 먼우금로188번길 12, 503호 (연수동, 이리옴3빌딩)",37.41341196,126.6765013,37.0
실버벨요양원2,노인의료복지시설,"인천광역시 연수구 비류대로 184, 4층 (옥련동)",37.42788428,126.6550738,45.0
연수실버세상요양원,노인의료복지시설,"인천광역시 연수구 벚꽃로 106, 1202호 (청학동)",37.41762795,126.6772293,28.0
송도사랑요양원,노인의료복지시설,"인천광역시 연수구 옥련로 147, 3층 (옥련동)",37.42564062,126.6558595,21.0
선학요양원,노인의료복지시설,인천광역시 연수구 예술로20번길 75 (선학동),37.43492154,126.7026993,89.0
사랑숲요양원,노인의료복지시설,인천광역시 연수구 청량로164번길 53 (옥련동),37.42254892,126.6549658,29.0
평복영락요양원,노인의료복지시설,인천광역시 연수구 청량로 51 (동춘동),37.41353089,126.6598487,60.0
덕화노인요양원,노인의료복지시설,인천광역시 연수구 청량로109번길 95 (동춘동),37.41499646,126.6540162,40.0
실버벨요양원,노인의료복지시설,"인천광역시 연수구 비류대로 170, 265-8동 (옥련동, 아리랑빌딩 4층)",37.4283162,126.6534391,29.0
