시설명,시설종류,주소,위도,경도,정원(명)
백령도노인요양원,노인의료복지시설,인천광역시 옹진군 백령면 백령남로72번길 84-26,37.964288,124.7133267,39
노인보금자리건강센터,노인의료복지시설,인천광역시 옹진군 영흥면 영흥로326번길 355,37.2647452,126.4669965,63
북도 공립 요양원(요양),노인의료복지시설,인천광역시 옹진군 북도면 시도로 64,37.5322197,126.4306636,9
자월 공립 요양원(요양),노인의료복지시설,인천광역시 옹진군 자월면 자월리 1416,37.2597864,126.2935123,9
연평 공립 요양원(요양),노인의료복지시설,인천광역시 옹진군 연평면 연평로 164,37.6631088,125.7053189,9
대청 공립 요양원(요양),노인의료복지시설,인천광역시 옹진군 대청면 대청리 561,37.8331233,124.6977211,9
덕적 공립 요양원(요양),노인의료복지시설,인천광역시 옹진군 덕적면 덕적남로 784,37.2304188,126.124714,9
노인보금자리건강센터(재가),재가노인복지시설,인천광역시 옹진군 영흥면 영흥로326번길 355,37.2647452,126.4669965,37
북도 공립 요양원(주야간보호),재가노인복지시설,인천광역시 옹진군 북도면 시도로 64,37.5322197,126.4306636,15
자월 공립 요양원(주야간보호),재가노인복지시설,인천광역시 옹진군 자월면 자월리 1416,37.2597864,126.2935123,15
연평 공립 요양원(주야간보호),재가노인복지시설,인천광역시 옹진군 연평면 연평로 164,37.6631088,125.7053189,15
대청 공립 요양원(주야간보호),재가노인복지시설,인천광역시 옹진군 대청면 대청리 561,37.8331233,124.6977211,15
덕적 공립 요양원(주야간보호),재가노인복지시설,인천광역시 옹진군 덕적면 덕적남로 784,37.2304188,126.124714,15
우주실버타운,노인주거복지시설,인천광역시 옹진군 영흥면 영흥남로 15-20,37.250749,126.475677,0
구로지 경로당,노인여가복지시설,인천광역시 북도면 신도로184번길 38,,,
고남 경로당,노인여가복지시설,인천광역시 북도면 신도로896번길 32-3,,,
신도 경로당,노인여가복지시설,인천광역시 북도면 신도로 497,,,
신촌 경로당,노인여가복지시설,인천광역시 북도면 신도로 664,,,
시도 경로당,노인여가복지시설,인천광역시 북도면 시도로86번길 45,,,
모도 경로당,노인여가복지시설,인천광역시 북도면 모도로 64,,,
옹암 경로당,노인여가복지시설,인천광역시 북도면 장봉로26번길 36-6,,,
장봉 경로당,노인여가복지시설,인천광역시 북도면 장봉로 562,,,
진축 경로당,노인여가복지시설,인천광역시 북도면 장봉로694번길 47-5,,,
축동 경로당,노인여가복지시설,인천광역시 북도면 장봉로701번길 64-4,,,
동부리 경로당,노인여가복지시설,인천광역시 연평면 연평로 200,,,
연평 경로당,노인여가복지시설,인천광역시 연평면 연평중앙로13번길 19-4,,,
서부리 경로당,노인여가복지시설,인천광역시 연평면 연평로137번길 61,,,
남부리 경로당,노인여가복지시설,인천광역시 연평면 연평로 150,,,
소연평 경로당,노인여가복지시설,인천광역시 연평면 소연평로 18,,,
새마을 경로당,노인여가복지시설,인천광역시 연평면 연평로312번길 12,,,
진촌1리 경로당,노인여가복지시설,인천광역시 백령면 백령로278번안길 34,,,
진촌2리 경로당,노인여가복지시설,인천광역시 백령면 백령로316번길 8-26,,,
사곶 경로당,노인여가복지시설,인천광역시 백령면 사곶로169,,,
관창동 경로당,노인여가복지시설,인천광역시 백령면 관창길 70,,,
진촌5리 경로당,노인여가복지시설,인천광역시 백령면 백령로 42-3,,,
진촌6리 경로당,노인여가복지시설,인천광역시 백령면 백령로297번길 26,,,
북포1리 경로당,노인여가복지시설,인천광역시 백령면 당후길 56,,,
북포2리 경로당,노인여가복지시설,인천광역시 백령면 백령로659번길 76,,,
대가을 경로당,노인여가복지시설,인천광역시 백령면 두무진로 8,,,
소가을 경로당,노인여가복지시설,인천광역시 백령면 백령로 968-12,,,
잔대동 경로당,노인여가복지시설,인천광역시 백령면 두무진로81번길 41-18,,,
연지동 경로당,노인여가복지시설,인천광역시 백령면 연지길 9-3,,,
중화동 경로당,노인여가복지시설,인천광역시 백령면 중화1길 87,,,
두무진 경로당,노인여가복지시설,인천광역시 백령면 두무진로 550-20,,,
남포1리 경로당,노인여가복지시설,인천광역시 백령면 백령남로 736,,,
남포2리 경로당,노인여가복지시설,인천광역시 백령면 화동로 49-12,,,
서내동 경로당,노인여가복지시설,인천광역시  대청면 대청로 296-54,,,
선진동 경로당,노인여가복지시설,인천광역시 대청면 대청로 19번길 7-8,,,
옥죽동경 경로당,노인여가복지시설,인천광역시 대청면 대청북로 126,,,
모래울 경로당,노인여가복지시설,인천광역시 대청면 대청남로 509-14,,,
고주동 경로당,노인여가복지시설,인천광역시 대청면 대청남로 123,,,
동내동 경로당,노인여가복지시설,인천광역시 대청면 대청로 233번길 23-9,,,
양지동 경로당,노인여가복지시설,인천광역시 대청면 대청로244번길 56,,,
소청 경로당,노인여가복지시설,인천광역시 대청면 소청동로 68-1,,,
노화동 경로당,노인여가복지시설,인천광역시 대청면 소청서로 105번길 85,,,
진1리 경로당,노인여가복지시설,인천광역시 덕적면 덕적북로133번길 77,,,
이개 경로당,노인여가복지시설,인천광역시 덕적면 덕적북로153번길 77,,,
도우 경로당,노인여가복지시설,인천광역시 덕적면 덕적북로12번길 48-11,,,
명신 경로당,노인여가복지시설,인천광역시 덕적면 덕적북로 440,,,
북2리 경로당,노인여가복지시설,인천광역시 덕적면 덕적북로518번길 13-3,,,
익포 경로당,노인여가복지시설,인천광역시 덕적면 덕적남로 608,,,
우포 경로당,노인여가복지시설,인천광역시 덕적면 덕적남로868번길 1,,,
소야 경로당,노인여가복지시설,인천광역시 덕적면 소야로 252,,,
소야2리 경로당,노인여가복지시설,인천광역시 덕적면 소야로 95,,,
문갑 경로당,노인여가복지시설,인천광역시 덕적면 문갑2길 16,,,
울도 경로당,노인여가복지시설,인천광역시 덕적면 울도로182번길 4,,,
자월1리 경로당,노인여가복지시설,인천광역시 자월면 자월서로186번길 26,,,
동촌 경로당,노인여가복지시설,인천광역시 자월면 자월동로26번길 97,,,
자월3리 경로당,노인여가복지시설,인천광역시 자월면 자월서로 351-5,,,
이작1리 경로당,노인여가복지시설,인천광역시 자월면 대이작로70번길 3-8,,,
이작2리 경로당,노인여가복지시설,인천광역시 자월면 소이작로42번길 5-4,,,
이작3리 경로당,노인여가복지시설,인천광역시 자월면 대이작로401,,,
승봉 경로당,노인여가복지시설,인천광역시 자월면 승봉로 90-8,,,
내1리 경로당,노인여가복지시설,인천광역시 영흥면 영흥북로343번길 95-11,,,
내2리 경로당,노인여가복지시설,인천광역시 영흥면 영흥서로 230,,,
내3리 경로당,노인여가복지시설,인천광역시 영흥면 영흥로348번길145,,,
내4리 경로당,노인여가복지시설,인천광역시 영흥면 영흥로 482-5,,,
내5리 경로당,노인여가복지시설,인천광역시 영흥면 영흥북로35번길 85,,,
내6리 경로당,노인여가복지시설,인천광역시 영흥면 영흥로 723,,,
내7리 경로당,노인여가복지시설,인천광역시 영흥면 영흥서로 39,,,
외1리  경로당,노인여가복지시설,인천광역시 영흥면 영흥남로191번길 10,,,
외2리 경로당,노인여가복지시설,인천광역시 영흥면 영흥남로369번길64-16,,,
외3리 경로당,노인여가복지시설,인천광역시 영흥면 영흥남로9번길 177,,,
외4리 경로당,노인여가복지시설,인천광역시 영흥면 영흥남로435번길 76,,,
선재1리 경로당,노인여가복지시설,인천광역시 영흥면 선재로52번길 104,,,
선재2리 경로당,노인여가복지시설,인천광역시 영흥면 선재로34번길 101,,,
선재3리 경로당,노인여가복지시설,인천광역시 영흥면 선재로 150-11,,,
선재4리 경로당,노인여가복지시설,"인천광역시 영흥면 선재로306번길 28-11, B동 101호",,,
